county,ej_variable,value
Los Angeles,Total Population,4091
Los Angeles,Poverty (% Below Poverty Level),27.5
Los Angeles,Asthma,47.73
Los Angeles,Annual PM 2.5 Concentrations,11.9373529
Los Angeles,Cardiovascular Disease,18.18
Los Angeles,Drinking Water Contaminant Index,362.91
Los Angeles,Imparired Water Bodies,2
Los Angeles,Groundwater Threats,3
Los Angeles,Pollution Burden Score,6.03
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,4657
Los Angeles,Poverty (% Below Poverty Level),17.4
Los Angeles,Asthma,37.87
Los Angeles,Annual PM 2.5 Concentrations,11.77575945
Los Angeles,Cardiovascular Disease,15.57
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,9
Los Angeles,Groundwater Threats,2
Los Angeles,Pollution Burden Score,6.37
Los Angeles,Annual Ozone Concentration,0.059
Los Angeles,Total Population,3195
Los Angeles,Poverty (% Below Poverty Level),22.1
Los Angeles,Asthma,66.44
Los Angeles,Annual PM 2.5 Concentrations,11.4990414
Los Angeles,Cardiovascular Disease,14.99
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,5.73
Los Angeles,Annual Ozone Concentration,0.067
Los Angeles,Total Population,1763
Los Angeles,Poverty (% Below Poverty Level),9.8
Los Angeles,Asthma,74.78
Los Angeles,Annual PM 2.5 Concentrations,11.29546441
Los Angeles,Cardiovascular Disease,15.13
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,0.75
Los Angeles,Pollution Burden Score,6.28
Los Angeles,Annual Ozone Concentration,0.064
Los Angeles,Total Population,5569
Los Angeles,Poverty (% Below Poverty Level),44.4
Los Angeles,Asthma,31.69
Los Angeles,Annual PM 2.5 Concentrations,12.00004387
Los Angeles,Cardiovascular Disease,8.72
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,13.25
Los Angeles,Pollution Burden Score,6.31
Los Angeles,Annual Ozone Concentration,0.05
Los Angeles,Total Population,3089
Los Angeles,Poverty (% Below Poverty Level),29.4
Los Angeles,Asthma,38.86
Los Angeles,Annual PM 2.5 Concentrations,12.03217459
Los Angeles,Cardiovascular Disease,17.67
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,2
Los Angeles,Pollution Burden Score,6.39
Los Angeles,Annual Ozone Concentration,0.049
Los Angeles,Total Population,6824
Los Angeles,Poverty (% Below Poverty Level),27.5
Los Angeles,Asthma,31.54
Los Angeles,Annual PM 2.5 Concentrations,11.975262559999999
Los Angeles,Cardiovascular Disease,12.77
Los Angeles,Drinking Water Contaminant Index,320.16
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,17.75
Los Angeles,Pollution Burden Score,7.32
Los Angeles,Annual Ozone Concentration,0.041
Los Angeles,Total Population,2904
Los Angeles,Poverty (% Below Poverty Level),30.9
Los Angeles,Asthma,79.34
Los Angeles,Annual PM 2.5 Concentrations,8.480696039
Los Angeles,Cardiovascular Disease,18.67
Los Angeles,Drinking Water Contaminant Index,339.19
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,4.03
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,1549
Los Angeles,Poverty (% Below Poverty Level),36.5
Los Angeles,Asthma,87.73
Los Angeles,Annual PM 2.5 Concentrations,12.06831914
Los Angeles,Cardiovascular Disease,16.4
Los Angeles,Drinking Water Contaminant Index,373.79
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,6
Los Angeles,Pollution Burden Score,5.46
Los Angeles,Annual Ozone Concentration,0.042
Los Angeles,Total Population,2691
Los Angeles,Poverty (% Below Poverty Level),26.3
Los Angeles,Asthma,36.87
Los Angeles,Annual PM 2.5 Concentrations,11.61984123
Los Angeles,Cardiovascular Disease,16.87
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,6.25
Los Angeles,Pollution Burden Score,6.12
Los Angeles,Annual Ozone Concentration,0.059
Los Angeles,Total Population,4829
Los Angeles,Poverty (% Below Poverty Level),58.9
Los Angeles,Asthma,53.21
Los Angeles,Annual PM 2.5 Concentrations,12.28627082
Los Angeles,Cardiovascular Disease,15.31
Los Angeles,Drinking Water Contaminant Index,488.79
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,4.91
Los Angeles,Annual Ozone Concentration,0.049
Los Angeles,Total Population,4323
Los Angeles,Poverty (% Below Poverty Level),27.9
Los Angeles,Asthma,34.52
Los Angeles,Annual PM 2.5 Concentrations,12.17805962
Los Angeles,Cardiovascular Disease,9.07
Los Angeles,Drinking Water Contaminant Index,743.08
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,6.69
Los Angeles,Annual Ozone Concentration,0.051
Los Angeles,Total Population,3145
Los Angeles,Poverty (% Below Poverty Level),27.4
Los Angeles,Asthma,58.84
Los Angeles,Annual PM 2.5 Concentrations,10.13942579
Los Angeles,Cardiovascular Disease,15.29
Los Angeles,Drinking Water Contaminant Index,586.1
Los Angeles,Imparired Water Bodies,1
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,5.2
Los Angeles,Annual Ozone Concentration,0.067
Los Angeles,Total Population,4679
Los Angeles,Poverty (% Below Poverty Level),30
Los Angeles,Asthma,41.08
Los Angeles,Annual PM 2.5 Concentrations,11.64969136
Los Angeles,Cardiovascular Disease,12.58
Los Angeles,Drinking Water Contaminant Index,231.98
Los Angeles,Imparired Water Bodies,8
Los Angeles,Groundwater Threats,11.3
Los Angeles,Pollution Burden Score,6.27
Los Angeles,Annual Ozone Concentration,0.045
Los Angeles,Total Population,2811
Los Angeles,Poverty (% Below Poverty Level),20.7
Los Angeles,Asthma,31.66
Los Angeles,Annual PM 2.5 Concentrations,11.66912326
Los Angeles,Cardiovascular Disease,8.31
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,4
Los Angeles,Groundwater Threats,17
Los Angeles,Pollution Burden Score,7.71
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,4301
Los Angeles,Poverty (% Below Poverty Level),17.5
Los Angeles,Asthma,55.74
Los Angeles,Annual PM 2.5 Concentrations,11.93215537
Los Angeles,Cardiovascular Disease,11.54
Los Angeles,Drinking Water Contaminant Index,316.13
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,11.5
Los Angeles,Pollution Burden Score,6.95
Los Angeles,Annual Ozone Concentration,0.04
Los Angeles,Total Population,2706
Los Angeles,Poverty (% Below Poverty Level),44
Los Angeles,Asthma,41.76
Los Angeles,Annual PM 2.5 Concentrations,11.51704216
Los Angeles,Cardiovascular Disease,18.42
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,4
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,5.08
Los Angeles,Annual Ozone Concentration,0.059
Los Angeles,Total Population,4513
Los Angeles,Poverty (% Below Poverty Level),35.8
Los Angeles,Asthma,28.17
Los Angeles,Annual PM 2.5 Concentrations,11.60331677
Los Angeles,Cardiovascular Disease,8.05
Los Angeles,Drinking Water Contaminant Index,753.7
Los Angeles,Imparired Water Bodies,1
Los Angeles,Groundwater Threats,31.8
Los Angeles,Pollution Burden Score,6.37
Los Angeles,Annual Ozone Concentration,0.056
Los Angeles,Total Population,3627
Los Angeles,Poverty (% Below Poverty Level),28
Los Angeles,Asthma,65.4
Los Angeles,Annual PM 2.5 Concentrations,12.14526757
Los Angeles,Cardiovascular Disease,11.07
Los Angeles,Drinking Water Contaminant Index,488.79
Los Angeles,Imparired Water Bodies,8
Los Angeles,Groundwater Threats,9.05
Los Angeles,Pollution Burden Score,6.43
Los Angeles,Annual Ozone Concentration,0.051
Los Angeles,Total Population,3473
Los Angeles,Poverty (% Below Poverty Level),18.1
Los Angeles,Asthma,29.5
Los Angeles,Annual PM 2.5 Concentrations,12.003228440000001
Los Angeles,Cardiovascular Disease,11.4
Los Angeles,Drinking Water Contaminant Index,841.45
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,7.11
Los Angeles,Annual Ozone Concentration,0.051
Los Angeles,Total Population,4897
Los Angeles,Poverty (% Below Poverty Level),25.2
Los Angeles,Asthma,44.37
Los Angeles,Annual PM 2.5 Concentrations,12.0285424
Los Angeles,Cardiovascular Disease,10.94
Los Angeles,Drinking Water Contaminant Index,861.99
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,2.9
Los Angeles,Pollution Burden Score,6.38
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,5628
Los Angeles,Poverty (% Below Poverty Level),41.6
Los Angeles,Asthma,53.81
Los Angeles,Annual PM 2.5 Concentrations,12.12221394
Los Angeles,Cardiovascular Disease,12.3
Los Angeles,Drinking Water Contaminant Index,590.44
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,6.4
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,4447
Los Angeles,Poverty (% Below Poverty Level),50
Los Angeles,Asthma,39.18
Los Angeles,Annual PM 2.5 Concentrations,12.09098712
Los Angeles,Cardiovascular Disease,12.09
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,5.5
Los Angeles,Pollution Burden Score,6.04
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,4000
Los Angeles,Poverty (% Below Poverty Level),39.5
Los Angeles,Asthma,31.51
Los Angeles,Annual PM 2.5 Concentrations,11.71669083
Los Angeles,Cardiovascular Disease,9.13
Los Angeles,Drinking Water Contaminant Index,676.29
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,17.55
Los Angeles,Pollution Burden Score,6.89
Los Angeles,Annual Ozone Concentration,0.056
Los Angeles,Total Population,4112
Los Angeles,Poverty (% Below Poverty Level),20.7
Los Angeles,Asthma,59.24
Los Angeles,Annual PM 2.5 Concentrations,10.96490305
Los Angeles,Cardiovascular Disease,13.52
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,4
Los Angeles,Groundwater Threats,17.5
Los Angeles,Pollution Burden Score,5.65
Los Angeles,Annual Ozone Concentration,0.06
Los Angeles,Total Population,3584
Los Angeles,Poverty (% Below Poverty Level),33.1
Los Angeles,Asthma,33.48
Los Angeles,Annual PM 2.5 Concentrations,12.0131878
Los Angeles,Cardiovascular Disease,9.89
Los Angeles,Drinking Water Contaminant Index,833.98
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,1.8
Los Angeles,Pollution Burden Score,6.24
Los Angeles,Annual Ozone Concentration,0.057
Los Angeles,Total Population,3427
Los Angeles,Poverty (% Below Poverty Level),55.1
Los Angeles,Asthma,154.47
Los Angeles,Annual PM 2.5 Concentrations,7.143374122
Los Angeles,Cardiovascular Disease,23.65
Los Angeles,Drinking Water Contaminant Index,441.8
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,4.05
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,3294
Los Angeles,Poverty (% Below Poverty Level),31.5
Los Angeles,Asthma,31.04
Los Angeles,Annual PM 2.5 Concentrations,13.02878399
Los Angeles,Cardiovascular Disease,9.5
Los Angeles,Drinking Water Contaminant Index,981.57
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,31.85
Los Angeles,Pollution Burden Score,7.13
Los Angeles,Annual Ozone Concentration,0.06
Los Angeles,Total Population,4889
Los Angeles,Poverty (% Below Poverty Level),26.4
Los Angeles,Asthma,42.26
Los Angeles,Annual PM 2.5 Concentrations,11.53361756
Los Angeles,Cardiovascular Disease,10.69
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,4
Los Angeles,Groundwater Threats,5.75
Los Angeles,Pollution Burden Score,6.69
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,5946
Los Angeles,Poverty (% Below Poverty Level),29.9
Los Angeles,Asthma,44.05
Los Angeles,Annual PM 2.5 Concentrations,12.66717011
Los Angeles,Cardiovascular Disease,8.77
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,4
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,6.26
Los Angeles,Annual Ozone Concentration,0.06
Los Angeles,Total Population,3268
Los Angeles,Poverty (% Below Poverty Level),27.8
Los Angeles,Asthma,46.16
Los Angeles,Annual PM 2.5 Concentrations,12.10056244
Los Angeles,Cardiovascular Disease,12.41
Los Angeles,Drinking Water Contaminant Index,425.42
Los Angeles,Imparired Water Bodies,5
Los Angeles,Groundwater Threats,30.3
Los Angeles,Pollution Burden Score,7.21
Los Angeles,Annual Ozone Concentration,0.053
Los Angeles,Total Population,7669
Los Angeles,Poverty (% Below Poverty Level),28.6
Los Angeles,Asthma,42.43
Los Angeles,Annual PM 2.5 Concentrations,11.95381392
Los Angeles,Cardiovascular Disease,9.9
Los Angeles,Drinking Water Contaminant Index,473.38
Los Angeles,Imparired Water Bodies,2
Los Angeles,Groundwater Threats,14.55
Los Angeles,Pollution Burden Score,7.1
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,7636
Los Angeles,Poverty (% Below Poverty Level),24.1
Los Angeles,Asthma,28.86
Los Angeles,Annual PM 2.5 Concentrations,11.87789848
Los Angeles,Cardiovascular Disease,12.11
Los Angeles,Drinking Water Contaminant Index,417.45
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,19.5
Los Angeles,Pollution Burden Score,6.3
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,5027
Los Angeles,Poverty (% Below Poverty Level),22.6
Los Angeles,Asthma,38.4
Los Angeles,Annual PM 2.5 Concentrations,11.627812
Los Angeles,Cardiovascular Disease,7.5
Los Angeles,Drinking Water Contaminant Index,354.9
Los Angeles,Imparired Water Bodies,8
Los Angeles,Groundwater Threats,23
Los Angeles,Pollution Burden Score,6.55
Los Angeles,Annual Ozone Concentration,0.038
Los Angeles,Total Population,5371
Los Angeles,Poverty (% Below Poverty Level),31
Los Angeles,Asthma,25.93
Los Angeles,Annual PM 2.5 Concentrations,11.92094307
Los Angeles,Cardiovascular Disease,11.93
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,31.75
Los Angeles,Pollution Burden Score,6.15
Los Angeles,Annual Ozone Concentration,0.05
Los Angeles,Total Population,4873
Los Angeles,Poverty (% Below Poverty Level),23.5
Los Angeles,Asthma,48.36
Los Angeles,Annual PM 2.5 Concentrations,11.83685846
Los Angeles,Cardiovascular Disease,15.1
Los Angeles,Drinking Water Contaminant Index,554.84
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,1
Los Angeles,Pollution Burden Score,5.33
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,3597
Los Angeles,Poverty (% Below Poverty Level),11.9
Los Angeles,Asthma,45.8
Los Angeles,Annual PM 2.5 Concentrations,12.09359499
Los Angeles,Cardiovascular Disease,9.99
Los Angeles,Drinking Water Contaminant Index,841.32
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,1
Los Angeles,Pollution Burden Score,8.19
Los Angeles,Annual Ozone Concentration,0.05
Los Angeles,Total Population,3105
Los Angeles,Poverty (% Below Poverty Level),21.7
Los Angeles,Asthma,62.76
Los Angeles,Annual PM 2.5 Concentrations,12.0394072
Los Angeles,Cardiovascular Disease,12.35
Los Angeles,Drinking Water Contaminant Index,517.47
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,2
Los Angeles,Pollution Burden Score,6.36
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,5060
Los Angeles,Poverty (% Below Poverty Level),17.6
Los Angeles,Asthma,51.56
Los Angeles,Annual PM 2.5 Concentrations,12.45084001
Los Angeles,Cardiovascular Disease,10.66
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,13
Los Angeles,Pollution Burden Score,6.74
Los Angeles,Annual Ozone Concentration,0.059
Los Angeles,Total Population,4250
Los Angeles,Poverty (% Below Poverty Level),24
Los Angeles,Asthma,71.92
Los Angeles,Annual PM 2.5 Concentrations,11.3276164
Los Angeles,Cardiovascular Disease,17.02
Los Angeles,Drinking Water Contaminant Index,365.81
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,46.85
Los Angeles,Pollution Burden Score,5.68
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,3878
Los Angeles,Poverty (% Below Poverty Level),18
Los Angeles,Asthma,24.87
Los Angeles,Annual PM 2.5 Concentrations,11.54013275
Los Angeles,Cardiovascular Disease,8.54
Los Angeles,Drinking Water Contaminant Index,897.85
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,26
Los Angeles,Pollution Burden Score,7.51
Los Angeles,Annual Ozone Concentration,0.059
Los Angeles,Total Population,4819
Los Angeles,Poverty (% Below Poverty Level),7.6
Los Angeles,Asthma,53.68
Los Angeles,Annual PM 2.5 Concentrations,12.02450845
Los Angeles,Cardiovascular Disease,14.06
Los Angeles,Drinking Water Contaminant Index,373.79
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,69.25
Los Angeles,Pollution Burden Score,8.06
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,6301
Los Angeles,Poverty (% Below Poverty Level),44.2
Los Angeles,Asthma,64.53
Los Angeles,Annual PM 2.5 Concentrations,8.286463193
Los Angeles,Cardiovascular Disease,14.77
Los Angeles,Drinking Water Contaminant Index,419.99
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,4.12
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,4966
Los Angeles,Poverty (% Below Poverty Level),27.5
Los Angeles,Asthma,62.98
Los Angeles,Annual PM 2.5 Concentrations,11.53361756
Los Angeles,Cardiovascular Disease,15.03
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,4
Los Angeles,Groundwater Threats,12.5
Los Angeles,Pollution Burden Score,6.77
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,5930
Los Angeles,Poverty (% Below Poverty Level),15.8
Los Angeles,Asthma,34.71
Los Angeles,Annual PM 2.5 Concentrations,12.08683988
Los Angeles,Cardiovascular Disease,13.94
Los Angeles,Drinking Water Contaminant Index,320.16
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,35.9
Los Angeles,Pollution Burden Score,7.95
Los Angeles,Annual Ozone Concentration,0.041
Los Angeles,Total Population,4258
Los Angeles,Poverty (% Below Poverty Level),24
Los Angeles,Asthma,61.97
Los Angeles,Annual PM 2.5 Concentrations,12.03560833
Los Angeles,Cardiovascular Disease,14.32
Los Angeles,Drinking Water Contaminant Index,373.79
Los Angeles,Imparired Water Bodies,5
Los Angeles,Groundwater Threats,3
Los Angeles,Pollution Burden Score,6.13
Los Angeles,Annual Ozone Concentration,0.041
Los Angeles,Total Population,5314
Los Angeles,Poverty (% Below Poverty Level),30.7
Los Angeles,Asthma,30.7
Los Angeles,Annual PM 2.5 Concentrations,11.74756081
Los Angeles,Cardiovascular Disease,9.55
Los Angeles,Drinking Water Contaminant Index,787.01
Los Angeles,Imparired Water Bodies,8
Los Angeles,Groundwater Threats,21.85
Los Angeles,Pollution Burden Score,8.41
Los Angeles,Annual Ozone Concentration,0.059
Los Angeles,Total Population,3499
Los Angeles,Poverty (% Below Poverty Level),30.1
Los Angeles,Asthma,41.76
Los Angeles,Annual PM 2.5 Concentrations,11.54776039
Los Angeles,Cardiovascular Disease,18.42
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,5.02
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,4191
Los Angeles,Poverty (% Below Poverty Level),17.4
Los Angeles,Asthma,52.13
Los Angeles,Annual PM 2.5 Concentrations,11.47080701
Los Angeles,Cardiovascular Disease,16.53
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,26.85
Los Angeles,Pollution Burden Score,7.24
Los Angeles,Annual Ozone Concentration,0.064
Los Angeles,Total Population,5688
Los Angeles,Poverty (% Below Poverty Level),18.6
Los Angeles,Asthma,121.03
Los Angeles,Annual PM 2.5 Concentrations,11.90810602
Los Angeles,Cardiovascular Disease,14.36
Los Angeles,Drinking Water Contaminant Index,657.51
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,1
Los Angeles,Pollution Burden Score,5.07
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,7261
Los Angeles,Poverty (% Below Poverty Level),34.9
Los Angeles,Asthma,142.85
Los Angeles,Annual PM 2.5 Concentrations,7.235243743
Los Angeles,Cardiovascular Disease,22.01
Los Angeles,Drinking Water Contaminant Index,461.61
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,4.67
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,3323
Los Angeles,Poverty (% Below Poverty Level),34.2
Los Angeles,Asthma,46.58
Los Angeles,Annual PM 2.5 Concentrations,11.4298025
Los Angeles,Cardiovascular Disease,12.02
Los Angeles,Drinking Water Contaminant Index,488.79
Los Angeles,Imparired Water Bodies,2
Los Angeles,Groundwater Threats,3
Los Angeles,Pollution Burden Score,5.22
Los Angeles,Annual Ozone Concentration,0.055
Los Angeles,Total Population,2296
Los Angeles,Poverty (% Below Poverty Level),16.1
Los Angeles,Asthma,138.46
Los Angeles,Annual PM 2.5 Concentrations,11.93730018
Los Angeles,Cardiovascular Disease,14.25
Los Angeles,Drinking Water Contaminant Index,459.93
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,13.05
Los Angeles,Pollution Burden Score,5.8
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,6455
Los Angeles,Poverty (% Below Poverty Level),18.3
Los Angeles,Asthma,38.96
Los Angeles,Annual PM 2.5 Concentrations,11.91379251
Los Angeles,Cardiovascular Disease,11.47
Los Angeles,Drinking Water Contaminant Index,344.64
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,1.5
Los Angeles,Pollution Burden Score,6.23
Los Angeles,Annual Ozone Concentration,0.045
Los Angeles,Total Population,6444
Los Angeles,Poverty (% Below Poverty Level),37.6
Los Angeles,Asthma,43.87
Los Angeles,Annual PM 2.5 Concentrations,11.92594018
Los Angeles,Cardiovascular Disease,16.78
Los Angeles,Drinking Water Contaminant Index,656.8
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,5.26
Los Angeles,Annual Ozone Concentration,0.049
Los Angeles,Total Population,5775
Los Angeles,Poverty (% Below Poverty Level),18.3
Los Angeles,Asthma,35.99
Los Angeles,Annual PM 2.5 Concentrations,11.99214768
Los Angeles,Cardiovascular Disease,9.23
Los Angeles,Drinking Water Contaminant Index,797.88
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,51.3
Los Angeles,Pollution Burden Score,7.96
Los Angeles,Annual Ozone Concentration,0.052
Los Angeles,Total Population,4524
Los Angeles,Poverty (% Below Poverty Level),24.6
Los Angeles,Asthma,25.5
Los Angeles,Annual PM 2.5 Concentrations,12.085341530000001
Los Angeles,Cardiovascular Disease,7.07
Los Angeles,Drinking Water Contaminant Index,748.7
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,7.12
Los Angeles,Annual Ozone Concentration,0.052
Los Angeles,Total Population,3641
Los Angeles,Poverty (% Below Poverty Level),15.1
Los Angeles,Asthma,32.95
Los Angeles,Annual PM 2.5 Concentrations,11.51076389
Los Angeles,Cardiovascular Disease,10.41
Los Angeles,Drinking Water Contaminant Index,787.01
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,30.85
Los Angeles,Pollution Burden Score,7.17
Los Angeles,Annual Ozone Concentration,0.059
Los Angeles,Total Population,2951
Los Angeles,Poverty (% Below Poverty Level),18.4
Los Angeles,Asthma,41.89
Los Angeles,Annual PM 2.5 Concentrations,12.44397051
Los Angeles,Cardiovascular Disease,14.35
Los Angeles,Drinking Water Contaminant Index,1008.98
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,12
Los Angeles,Pollution Burden Score,6.52
Los Angeles,Annual Ozone Concentration,0.061
Los Angeles,Total Population,6018
Los Angeles,Poverty (% Below Poverty Level),15.3
Los Angeles,Asthma,32.43
Los Angeles,Annual PM 2.5 Concentrations,12.04138066
Los Angeles,Cardiovascular Disease,12.64
Los Angeles,Drinking Water Contaminant Index,562.63
Los Angeles,Imparired Water Bodies,5
Los Angeles,Groundwater Threats,40.35
Los Angeles,Pollution Burden Score,8.91
Los Angeles,Annual Ozone Concentration,0.041
Los Angeles,Total Population,3625
Los Angeles,Poverty (% Below Poverty Level),22.8
Los Angeles,Asthma,29.29
Los Angeles,Annual PM 2.5 Concentrations,11.7071006
Los Angeles,Cardiovascular Disease,9.68
Los Angeles,Drinking Water Contaminant Index,418.24
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,2
Los Angeles,Pollution Burden Score,7.02
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,3517
Los Angeles,Poverty (% Below Poverty Level),54.4
Los Angeles,Asthma,27.02
Los Angeles,Annual PM 2.5 Concentrations,12.10099038
Los Angeles,Cardiovascular Disease,8.12
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,3.75
Los Angeles,Pollution Burden Score,5.94
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,3896
Los Angeles,Poverty (% Below Poverty Level),25
Los Angeles,Asthma,40.68
Los Angeles,Annual PM 2.5 Concentrations,12.06299327
Los Angeles,Cardiovascular Disease,12.96
Los Angeles,Drinking Water Contaminant Index,437.61
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,1.5
Los Angeles,Pollution Burden Score,6.43
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,2147
Los Angeles,Poverty (% Below Poverty Level),31
Los Angeles,Asthma,60.12
Los Angeles,Annual PM 2.5 Concentrations,11.62234049
Los Angeles,Cardiovascular Disease,12.71
Los Angeles,Drinking Water Contaminant Index,794.36
Los Angeles,Imparired Water Bodies,2
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,4.83
Los Angeles,Annual Ozone Concentration,0.053
Los Angeles,Total Population,4658
Los Angeles,Poverty (% Below Poverty Level),48
Los Angeles,Asthma,66.27
Los Angeles,Annual PM 2.5 Concentrations,11.62534541
Los Angeles,Cardiovascular Disease,13.2
Los Angeles,Drinking Water Contaminant Index,339.04
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,0
